OBJECTID,GEOGRAPHY_NAME,YEAR,GEOGRAPHY,COUNT_ALL_RACES_ETHNICITIES,COUNT_ASIAN_PI_NH,COUNT_BLACK_NH,COUNT_HISPANIC,COUNT_MULTIRACIAL_NH,COUNT_WHITE_NH,PERCENT_ASIAN_PI_NH,PERCENT_BLACK_NH,PERCENT_HISPANIC,PERCENT_MULTIRACIAL_NH,PERCENT_WHITE_NH,Shape__Area,Shape__Length
91,42101009000,2010,Census tract,5576,949,435,231,130,3795,17.01936872,7.80129125,4.14275466,2.33142037,68.05954089,743322.890625,3733.1174094218
92,42101009100,2010,Census tract,2803,360,1159,99,65,1104,12.84338209,41.34855512,3.53193007,2.31894399,39.38637174,725224.47265625,3375.60578078992
93,42101009200,2010,Census tract,2884,188,2201,97,73,314,6.51872399,76.31761442,3.36338419,2.53120666,10.88765603,872537.34765625,3975.32502155077
94,42101009300,2010,Census tract,4221,28,3934,94,74,70,0.66334992,93.20066335,2.22696044,1.75313907,1.65837479,684354.37890625,3517.50105372757
95,42101009400,2010,Census tract,3827,8,3655,76,51,21,0.20904102,95.50561798,1.98588973,1.33263653,0.54873269,624994.62890625,3197.79786487727
96,42101009500,2010,Census tract,3313,6,3148,66,53,17,0.18110474,95.01961968,1.99215213,1.59975853,0.51313009,543807.7578125,3306.35729247452
97,42101009600,2010,Census tract,4238,27,3963,82,86,62,0.63709297,93.51109014,1.93487494,2.02925908,1.46295422,690816.71484375,3398.14701956584
98,42101009801,2010,Census tract,2184,41,1794,44,54,235,1.87728938,82.14285714,2.01465201,2.47252747,10.76007326,512451.57421875,3149.00798030556
99,42101009802,2010,Census tract,5475,107,4561,125,87,584,1.9543379,83.30593607,2.28310502,1.5890411,10.66666667,1019775.43359375,5776.94200235367
100,42101010000,2010,Census tract,4366,66,3624,153,45,446,1.51168117,83.00503894,3.50435181,1.03069171,10.21530005,847363.26171875,4340.68729780935
101,42101010100,2010,Census tract,5459,38,5093,129,83,87,0.69609819,93.29547536,2.36307016,1.52042499,1.59369848,1025320.43359375,4126.77529232815
